"fecha","ciudad","lluvia_mm","temp_max","viento_max","humedad_pm","presion_pm","nubosidad_pm"
2009-05-20,"Sydney",24.4,21.6,61,66,1020.4,7
2009-05-21,"Sydney",21,20.1,67,56,1022.2,8
2009-05-22,"Sydney",1,20.2,69,91,1020.9,7
2009-05-23,"Sydney",26.4,21.8,59,84,1023.1,7
2009-05-25,"Sydney",0,20.6,20,60,1023,7
2009-05-26,"Sydney",0,23.2,28,50,1018.5,1
2009-05-27,"Sydney",0,17.9,35,93,1018.3,8
2009-05-28,"Sydney",3.8,17.2,52,81,1020.1,4
2009-05-29,"Sydney",6,16.6,59,74,1022.3,7
2009-05-30,"Sydney",16,18.2,59,84,1026.9,7
2009-05-31,"Sydney",5.2,19.6,50,53,1031.9,7
2009-06-01,"Sydney",0.2,17,31,75,1030.1,7
2009-06-02,"Sydney",1.6,20.1,28,62,1026.8,6
2009-06-03,"Sydney",7.4,18.7,28,87,1022,8
2009-06-04,"Sydney",3,17.9,22,81,1016.5,8
2009-06-05,"Sydney",0,20.1,33,47,1012.1,7
2009-06-06,"Sydney",0,19.5,37,38,1009.8,1
2009-06-07,"Sydney",0.8,19.9,48,37,1004.6,2
2009-06-08,"Sydney",0.2,20.1,44,32,1007.1,3
2009-06-09,"Sydney",0,17,59,34,1007.9,6
2009-06-10,"Sydney",0,14.4,61,32,1012.9,1
2009-06-11,"Sydney",0,16.1,48,29,1018,1
2009-06-12,"Sydney",0,17.6,39,34,1019.8,7
2009-06-13,"Sydney",0,20.1,31,29,1013.6,7
2009-06-14,"Sydney",0,14.3,24,73,1011.8,8
2009-06-15,"Sydney",2.2,18.1,41,40,1010.4,3
2009-06-16,"Sydney",0,15.2,57,87,1019.8,7
2009-06-17,"Sydney",10,16.4,43,76,1026.4,6
2009-06-18,"Sydney",5.8,16,37,89,1027.9,4
2009-06-19,"Sydney",9.8,18.2,37,42,1027.9,4
2009-06-20,"Sydney",0.4,16.7,61,87,1024.3,8
2009-06-21,"Sydney",21,19.7,31,81,1020.3,8
2009-06-22,"Sydney",12.6,19.9,35,81,1017.5,3
2009-06-23,"Sydney",0.4,19.9,22,57,1016.3,1
2009-06-24,"Sydney",0,19.8,52,50,1010.5,1
2009-06-25,"Sydney",0.2,17.7,33,44,1012.1,6
2009-06-26,"Sydney",0,19,30,47,1008.8,4
2009-06-27,"Sydney",0,16.4,26,83,1005.2,7
2009-06-28,"Sydney",0,19.8,44,47,1004.1,7
2009-06-29,"Sydney",3.6,21.4,30,38,1009.9,1
2009-06-30,"Sydney",0,20.6,41,45,1007.3,3
2009-07-01,"Sydney",0,22,54,22,1004,1
2009-07-02,"Sydney",0,19.4,52,27,1006.2,1
2009-07-03,"Sydney",0,16.2,70,40,1003.9,5
2009-07-04,"Sydney",0,17.3,50,37,1011,1
2009-07-05,"Sydney",0,15.8,41,40,1016.1,1
2009-07-06,"Sydney",0,16.6,28,36,1017.4,6
2009-07-07,"Sydney",2.8,14,52,84,1024.1,7
2009-07-08,"Sydney",19,14.8,37,78,1028,6
2009-07-09,"Sydney",10.2,17.6,37,59,1028.3,5
2009-07-10,"Sydney",4.6,17.3,39,65,1024.5,5
2009-07-11,"Sydney",0.2,17.3,24,51,1018.3,7
2009-07-12,"Sydney",0,18.3,31,52,1009,5
2009-07-14,"Sydney",0,17.8,52,36,1004.4,2
2009-07-15,"Sydney",0,17,41,43,1008,3
2009-07-16,"Sydney",1.2,14.8,57,55,1010.2,7
2009-07-17,"Sydney",6.2,14.7,54,67,1018.9,7
2009-07-18,"Sydney",0,18.7,26,39,1018,1
2009-07-19,"Sydney",0,20.1,35,33,1019,1
2009-07-20,"Sydney",0,21.2,30,28,1019.9,0
2009-07-21,"Sydney",0,23,31,26,1015.1,1
2009-07-22,"Sydney",0,25.5,56,33,1004.8,4
2009-07-23,"Sydney",3,17,56,42,1014.3,3
2009-07-24,"Sydney",0.6,15.5,31,58,1024.3,1
2009-07-25,"Sydney",0,17.6,28,43,1021.6,1
2009-07-26,"Sydney",0,15.2,22,75,1014,8
2009-07-27,"Sydney",9.4,18.7,48,32,1015.1,1
2009-07-28,"Sydney",0,18.9,50,38,1020,1
2009-07-29,"Sydney",0,20,43,49,1022.1,5
2009-07-30,"Sydney",0,19.4,44,35,1018.9,0
2009-07-31,"Sydney",0,19.9,54,37,1017.6,2
2009-08-01,"Sydney",0,19.6,37,32,1021,0
2009-08-02,"Sydney",0,19.7,35,35,1022.3,1
2009-08-04,"Sydney",0,19.6,35,38,1017.1,2
2009-08-05,"Sydney",0,19,26,43,1020,1
2009-08-06,"Sydney",0,21,37,44,1018.8,4
2009-08-07,"Sydney",0,24.7,85,18,1009,6
2009-08-08,"Sydney",0,14.6,56,51,1020.6,1
2009-08-09,"Sydney",0,18.6,26,47,1017.4,4
2009-08-10,"Sydney",0,18.1,26,49,1016.6,7
2009-08-11,"Sydney",0,18.2,50,58,1011.9,7
2009-08-12,"Sydney",4.8,20.5,37,30,1009.2,4
2009-08-13,"Sydney",0,21.3,46,36,1011.4,1
2009-08-14,"Sydney",0,20.5,30,55,1015.8,1
2009-08-15,"Sydney",0,22.9,33,35,1015.6,0
2009-08-16,"Sydney",0,25.9,44,23,1008.2,1
2009-08-17,"Sydney",0,23.2,57,25,1013.7,0
2009-08-18,"Sydney",0,17.5,39,44,1026,1
2009-08-19,"Sydney",0,19.8,35,42,1022.7,1
2009-08-20,"Sydney",0,21.6,28,36,1013.8,1
2009-08-21,"Sydney",0,26.2,63,31,1001.4,7
2009-08-22,"Sydney",0,21.3,43,41,1009.5,1
2009-08-23,"Sydney",0,25.8,37,40,1007.1,3
2009-08-24,"Sydney",0,25.4,85,61,1005.5,8
2009-08-25,"Sydney",1.2,20.8,87,19,1006.3,1
2009-08-26,"Sydney",0,22.6,78,14,1010.3,0
2009-08-27,"Sydney",0,22.5,37,31,1013,0
2009-08-28,"Sydney",0,25.2,35,16,1012.4,1
2009-08-29,"Sydney",0.2,27,74,50,998.1,5
2009-08-30,"Sydney",0.2,20.1,70,19,1010.4,0
2009-08-31,"Sydney",0,22,48,28,1013.8,1
2009-09-01,"Sydney",0,21.4,33,41,1019.4,1
2009-09-02,"Sydney",0,18.9,35,58,1021.7,1
2009-09-03,"Sydney",0,22.1,33,96,1018.7,8
2009-09-04,"Sydney",4.6,25.9,39,37,1009.6,3
2009-09-05,"Sydney",0,19.4,41,41,1015,1
2009-09-06,"Sydney",0,20.3,48,51,1013.9,1
2009-09-07,"Sydney",0,21.5,52,53,1000.4,6
2009-09-08,"Sydney",6,20.3,37,52,1007.1,7
2009-09-09,"Sydney",0,20.7,52,33,1009,3
2009-09-10,"Sydney",0,21.5,46,34,1013.8,1
2009-09-11,"Sydney",0,22.3,33,37,1018.9,1
2009-09-12,"Sydney",0,29.2,41,21,1018.5,0
2009-09-13,"Sydney",0,32.7,44,10,1014.9,0
2009-09-14,"Sydney",0,19.1,54,58,1021.3,3
2009-09-15,"Sydney",0,22.2,35,64,1016,6
2009-09-16,"Sydney",0,21.7,39,87,1019.7,7
2009-09-17,"Sydney",0,33.2,65,19,1009.3,7
2009-09-18,"Sydney",0,22.2,50,63,1018.6,1
2009-09-19,"Sydney",0,23.5,37,51,1012.6,5
2009-09-20,"Sydney",0,26.8,43,27,1010.6,7
2009-09-21,"Sydney",1.4,26.7,48,63,1012,8
2009-09-22,"Sydney",0,32,76,27,997.8,1
2009-09-23,"Sydney",10.6,22.1,81,31,998,2
2009-09-24,"Sydney",0,25,52,22,1009.5,1
2009-09-25,"Sydney",0,26,52,26,1006.7,1
2009-09-26,"Sydney",0,20.7,78,14,1004.5,4
2009-09-27,"Sydney",0,18.1,81,20,1003.9,2
2009-09-29,"Sydney",0,19.7,33,44,1011.8,2
2009-09-30,"Sydney",0,26.3,44,28,1012,4
2009-10-01,"Sydney",0,33.8,61,6,1007.3,1
2009-10-02,"Sydney",0,20.4,65,74,1010.5,8
2009-10-03,"Sydney",7,15.6,72,87,1014,8
2009-10-04,"Sydney",25.4,17.2,39,61,1019.8,8
2009-10-05,"Sydney",2,19.4,52,58,1017,6
2009-10-06,"Sydney",6.4,19.4,52,50,1016.5,3
2009-10-07,"Sydney",2,19.6,63,45,1011.6,6
2009-10-08,"Sydney",2.2,15.9,81,59,1020,5
2009-10-09,"Sydney",0,15.9,59,62,1025.9,6
2009-10-10,"Sydney",12.8,16.8,44,70,1027.5,7
2009-10-11,"Sydney",1.8,19.9,39,50,1019.6,7
2009-10-12,"Sydney",0.4,23.3,56,59,1006.2,8
2009-10-13,"Sydney",0,25.5,83,17,998.5,1
2009-10-14,"Sydney",0,22.8,91,31,1000.6,6
2009-10-15,"Sydney",0.4,23.5,72,23,1006.1,7
2009-10-16,"Sydney",0,21.6,56,21,1011.7,3
2009-10-17,"Sydney",0,20.1,35,45,1020.5,1
2009-10-18,"Sydney",2.6,18.9,33,60,1025.3,2
2009-10-19,"Sydney",0.4,22,30,52,1024.6,1
2009-10-20,"Sydney",0,26,48,52,1017.9,0
2009-10-21,"Sydney",0,35.6,56,10,1015.9,5
2009-10-22,"Sydney",0,21.5,39,63,1022.5,8
2009-10-23,"Sydney",0,26.4,41,55,1014.1,1
2009-10-24,"Sydney",0,22.6,35,52,1016.1,1
2009-10-25,"Sydney",0,21.5,52,81,1015.4,8
2009-10-26,"Sydney",70.6,17.3,69,56,1025.2,8
2009-10-27,"Sydney",0.2,19.9,44,56,1027.6,8
2009-10-28,"Sydney",0,23.9,35,59,1022,1
2009-10-29,"Sydney",0,22,35,74,1023.8,6
2009-10-30,"Sydney",0,26.2,41,48,1020.2,1
2009-10-31,"Sydney",0,24.5,43,56,1023.1,1
2009-11-01,"Sydney",0,26,48,51,1019.3,2
2009-11-02,"Sydney",0,24.9,33,76,1017.5,7
2009-11-03,"Sydney",0,39.2,69,15,1005.7,6
2009-11-04,"Sydney",1.2,19.5,43,76,1015.5,8
2009-11-05,"Sydney",1.4,19.8,39,81,1021.9,7
2009-11-06,"Sydney",7.2,21.9,37,61,1027,8
2009-11-07,"Sydney",4.8,23.6,39,55,1029.9,7
2009-11-08,"Sydney",0.2,22.6,30,91,1028.7,8
2009-11-09,"Sydney",1.6,25.6,44,54,1023.6,1
2009-11-10,"Sydney",0,25.6,43,42,1019.7,1
2009-11-11,"Sydney",0,25.6,35,60,1021.2,1
2009-11-12,"Sydney",0,30,50,40,1012.6,6
2009-11-13,"Sydney",1,22.3,54,68,1019.2,2
2009-11-14,"Sydney",0,27.1,39,48,1010.9,1
2009-11-15,"Sydney",0,24.7,54,66,1011.6,2
2009-11-16,"Sydney",0,31.6,69,52,1001.4,7
2009-11-17,"Sydney",2.6,22.1,74,69,1009.7,7
2009-11-18,"Sydney",0,26,56,50,1010.1,2
2009-11-19,"Sydney",0,28.6,57,54,1008.9,3
2009-11-20,"Sydney",0,36.3,61,44,1005.7,8
2009-11-21,"Sydney",0.4,27.5,72,55,1006.5,7
2009-11-22,"Sydney",0,42.5,61,13,1000.7,7
2009-11-23,"Sydney",0,22.6,80,83,1022.7,8
2009-11-24,"Sydney",2.2,23.5,35,82,1024.5,7
2009-11-25,"Sydney",0.4,27.7,48,63,1018,0
2009-11-26,"Sydney",0,28.1,54,62,1010.9,1
2009-11-27,"Sydney",2.4,32.7,54,33,1006.6,1
2009-11-28,"Sydney",0,33.3,63,41,999.4,5
2009-11-29,"Sydney",0,32.2,61,15,998.6,3
2009-11-30,"Sydney",0,21.6,70,80,1009.5,7
2009-12-01,"Sydney",5.4,19.4,69,65,1017.3,4
2009-12-02,"Sydney",10.2,21.7,54,63,1021.7,1
2009-12-03,"Sydney",0,25.3,52,45,1017.4,1
2009-12-04,"Sydney",0,22.2,61,70,1015.8,5
2009-12-05,"Sydney",0,23.6,35,59,1012.4,7
2009-12-06,"Sydney",0,27,52,51,1014.8,1
2009-12-07,"Sydney",0,32.3,59,47,1006.7,1
2009-12-08,"Sydney",0,29.7,74,54,1000.2,3
2009-12-09,"Sydney",1.6,25,48,62,1010.4,4
2009-12-10,"Sydney",0,30.3,50,61,1005.7,8
2009-12-11,"Sydney",0,27.6,56,25,1012.9,1
2009-12-12,"Sydney",0,27.9,56,45,1013.3,1
2009-12-13,"Sydney",0,26.1,43,61,1015.4,1
2009-12-14,"Sydney",0,24.7,41,66,1021.1,7
2009-12-15,"Sydney",0,26.6,50,52,1020,7
2009-12-16,"Sydney",0,29.1,65,60,1015.5,2
2009-12-17,"Sydney",5.6,32.6,76,53,1007.8,5
2009-12-18,"Sydney",4.8,23.1,56,87,1016.9,8
2009-12-19,"Sydney",0,27.2,50,55,1014.1,1
2009-12-20,"Sydney",0,24,41,59,1019.6,8
2009-12-21,"Sydney",0,27.3,63,53,1012.2,6
2009-12-22,"Sydney",0,32.2,39,39,1009.2,4
2009-12-23,"Sydney",0,31,56,44,1012,3
2009-12-24,"Sydney",0,32.4,80,60,1009.1,7
2009-12-25,"Sydney",0,28,65,95,1011,8
2009-12-26,"Sydney",7.8,20.3,54,87,1016.4,8
2009-12-27,"Sydney",7,22.1,44,84,1016.1,8
2009-12-28,"Sydney",13.8,22.2,52,87,1015.6,7
2009-12-29,"Sydney",3.6,25.1,43,62,1021.3,1
2009-12-30,"Sydney",0,25.1,43,67,1023.2,4
2009-12-31,"Sydney",0,26.5,43,75,1016.9,8
2010-01-01,"Sydney",0,30.2,50,50,1009.9,7
2010-01-02,"Sydney",0,31.8,59,73,1005.5,7
2010-01-04,"Sydney",1.2,25.4,41,58,1019,8
2010-01-05,"Sydney",0,28.3,56,53,1014.1,1
2010-01-06,"Sydney",0,25.3,50,74,1013.8,6
2010-01-07,"Sydney",0,23.8,41,56,1017.5,8
2010-01-08,"Sydney",0,26.9,44,57,1019.2,1
2010-01-09,"Sydney",0,35,39,41,1013.9,5
2010-01-10,"Sydney",0,27,50,76,1015.5,1
2010-01-11,"Sydney",0,27.9,54,55,1015.7,2
2010-01-12,"Sydney",0,31.8,61,54,1007.9,1
2010-01-13,"Sydney",0.2,24.8,63,77,1011.4,6
2010-01-14,"Sydney",6.2,21.6,52,80,1017.7,8
2010-01-15,"Sydney",0,25.6,37,79,1017.3,6
2010-01-16,"Sydney",0,28.7,43,58,1009.3,7
2010-01-17,"Sydney",0,25.5,50,75,1003.3,7
2010-01-18,"Sydney",0,25.6,67,17,1002.7,1
2010-01-19,"Sydney",0,25.9,37,27,1007.2,1
2010-01-20,"Sydney",0,30.1,39,30,1007.5,0
2010-01-21,"Sydney",0,30.9,46,53,1008,2
2010-01-22,"Sydney",0,34.9,48,45,1008.2,1
2010-01-23,"Sydney",0,42.5,87,11,1004.8,6
2010-01-24,"Sydney",3.8,23.6,39,76,1014.6,8
2010-01-25,"Sydney",0,26.9,31,68,1011.7,7
2010-01-26,"Sydney",0,30.6,30,60,1006.8,2
2010-01-30,"Sydney",0.2,25.9,50,76,1018,7
2010-01-31,"Sydney",1.2,28.7,52,57,1014.6,7
2010-02-01,"Sydney",0,29.1,46,58,1016,6
2010-02-02,"Sydney",0,27.5,52,58,1016.6,7
2010-02-03,"Sydney",12.8,28.5,52,63,1014.3,3
2010-02-04,"Sydney",5.2,28.3,61,73,1011.4,7
2010-02-05,"Sydney",5.2,28.9,52,82,1008.4,7
2010-02-06,"Sydney",19,22.4,69,99,1016.2,8
2010-02-07,"Sydney",54,24,72,87,1020.7,8
2010-02-08,"Sydney",5.4,27.5,33,64,1021.9,7
2010-02-09,"Sydney",1.4,28.8,37,52,1020.9,3
2010-02-10,"Sydney",0,30.5,43,55,1017.1,1
2010-02-11,"Sydney",0,31.1,44,52,1013.2,2
2010-02-12,"Sydney",0,38.6,74,31,1005.1,7
2010-02-13,"Sydney",17,25,37,88,1010.3,8
2010-02-14,"Sydney",13.8,28,52,91,1004.4,8
2010-02-15,"Sydney",22.2,34.1,41,39,1002.9,5
2010-02-16,"Sydney",0,24.1,69,69,1013.7,7
2010-02-17,"Sydney",0,24,39,65,1016,1
2010-02-18,"Sydney",0,25.1,41,52,1023.5,3
2010-02-19,"Sydney",0,25.6,31,47,1023,7
2010-02-20,"Sydney",0.4,29,52,47,1017.8,1
2010-02-21,"Sydney",0,34.2,52,41,1014.2,1
2010-02-22,"Sydney",0,37.3,41,25,1011,3
2010-02-23,"Sydney",0,25.3,54,59,1016.3,7
2010-02-24,"Sydney",0,24.7,35,54,1021.4,7
2010-02-25,"Sydney",0,25.1,37,48,1026.7,3
2010-02-26,"Sydney",0,24.7,33,68,1024.7,7
2010-02-27,"Sydney",0.4,29.3,46,54,1017.6,2
2010-02-28,"Sydney",0,26.1,59,74,1014.8,8
2010-03-02,"Sydney",4.2,22.1,52,51,1018.5,6
2010-03-03,"Sydney",0,23.9,30,50,1018.5,5
2010-03-04,"Sydney",0,26.5,48,62,1013.9,4
2010-03-05,"Sydney",0,26.1,50,82,1009.8,8
2010-03-06,"Sydney",16,28,41,69,1010.7,5
2010-03-07,"Sydney",0,28.1,69,57,1012.2,8
2010-03-08,"Sydney",0.8,31.7,52,46,1009.2,6
2010-03-09,"Sydney",0,31,48,33,1012.3,1
2010-03-10,"Sydney",1,20.8,63,72,1023,8
2010-03-11,"Sydney",0,22.5,57,66,1031.9,4
2010-03-12,"Sydney",0,24.4,44,47,1035.2,5
2010-03-13,"Sydney",0,24,41,61,1033.4,6
2010-03-14,"Sydney",4.2,24,30,50,1028,6
2010-03-15,"Sydney",0,26.1,33,55,1022.5,3
2010-03-16,"Sydney",0,26.8,31,38,1022.7,1
2010-03-17,"Sydney",0,27.4,35,48,1024.4,1
2010-03-18,"Sydney",0,28.6,37,37,1023.6,5
2010-03-19,"Sydney",0,31.3,35,48,1018.8,4
2010-03-20,"Sydney",0,29.5,35,53,1019.4,1
2010-03-21,"Sydney",0,36.3,81,25,1013.9,6
2010-03-22,"Sydney",0,24.8,48,58,1018.9,4
2010-03-23,"Sydney",0,29.9,33,50,1017.2,6
2010-03-24,"Sydney",0,25.4,31,58,1020.9,2
2010-03-25,"Sydney",0,27.9,46,54,1019.4,3
2010-03-26,"Sydney",0,35.5,41,34,1015.1,2
2010-03-27,"Sydney",0,25,57,76,1018.5,7
2010-03-28,"Sydney",0,29.1,50,57,1014.9,5
2010-03-29,"Sydney",0,28.6,35,46,1016.4,8
2010-03-30,"Sydney",1.8,21.2,52,90,1018.7,8
2010-03-31,"Sydney",11.4,21.7,56,74,1017.8,7
2010-04-01,"Sydney",0,22.8,46,59,1016.4,1
2010-04-02,"Sydney",0,22.2,46,58,1018.6,1
2010-04-03,"Sydney",0,22.3,44,63,1020.3,3
2010-04-04,"Sydney",11.2,20.8,43,75,1020.7,5
2010-04-05,"Sydney",3.4,20.9,22,65,1019.1,6
2010-04-06,"Sydney",1.4,24.1,31,58,1017.6,7
2010-04-07,"Sydney",2,25.9,37,58,1012.2,7
2010-04-08,"Sydney",2.4,27.6,61,74,1011.9,4
2010-04-09,"Sydney",6,22.1,41,66,1011.2,4
2010-04-10,"Sydney",0,28.3,26,35,1007.3,1
2010-04-11,"Sydney",0,29.2,61,28,1005.8,4
2010-04-12,"Sydney",0,24.2,50,30,1011.9,2
2010-04-13,"Sydney",0,19.9,41,57,1020.6,1
2010-04-14,"Sydney",0,25.9,33,30,1019,2
2010-04-15,"Sydney",0,22,35,78,1020.7,3
2010-04-16,"Sydney",0,21.2,44,76,1025.5,7
2010-04-17,"Sydney",1.8,23.6,28,65,1026.1,3
2010-04-18,"Sydney",0,23.9,26,68,1024.3,3
2010-04-19,"Sydney",0,25.4,26,58,1023.5,1
2010-04-20,"Sydney",0.2,25.5,28,56,1021.7,4
2010-04-21,"Sydney",0,26.4,31,56,1020.1,2
2010-04-22,"Sydney",0,28.4,28,56,1019.1,1
2010-04-23,"Sydney",0,30.2,33,38,1015.5,1
2010-04-24,"Sydney",0,30,44,42,1009.9,7
2010-04-25,"Sydney",8.4,22.6,57,75,1013.7,6
2010-04-26,"Sydney",0,19.8,44,53,1022.4,1
2010-04-27,"Sydney",0,21.1,30,37,1017.9,7
2010-04-28,"Sydney",0,25.6,35,28,1016.5,1
2010-04-29,"Sydney",0,25.5,56,30,1016.9,1
2010-04-30,"Sydney",0.4,19.3,46,66,1024.7,7
2010-05-01,"Sydney",1.2,22.4,28,64,1024.4,5
